name,type,summary,state,updated,lat,lng,size,url,id,contained
Pinnacle Fire,Wildfire,"Pinnacle Fire 100% contained at 3PM July 16,",ARIZONA,2021-07-16 18:32:32,32.865,-110.201,"34,417 Acres",/incident/7523/,7523,100
Telegraph Post-Fire BAER,Burned Area Emergency Response,THREE PHASES OF WILDFIRE RECOVERY  There are three phases of...,ARIZONA,2021-07-16 14:47:09,33.174,-111.008,0 Acres,/incident/7560/,7560,0
Crooked Creek,Wildfire,THIS FIRE IS NO LONGER BEING UPDATED.The Crooked Creek Fire is...,MONTANA,2021-07-16 14:41:51,45.184,-108.42,"4,141 Acres",/incident/7542/,7542,85
Tennant ,Wildfire," YREKA, Calif, July, 10, 2021- As of 6 A.M. July 10th, the Tennant...",CALIFORNIA,2021-07-16 11:50:00,41.665,-122.039,"10,580 Acres",/incident/7584/,7584,100
Middle Fire,Wildfire,"The Middle Fire was first discovered on Tuesday, June 29, 2021, just...",ARIZONA,2021-07-15 20:06:34,34.217,-111.751,"2,792 Acres",/incident/7622/,7622,0
Cedar Basin Fire,Wildfire,"As of Thursday, July 15, 2021 the fire is 100% contained and all...",ARIZONA,2021-07-15 14:56:08,34.825,-113.391,734 Acres,/incident/7642/,7642,100
Cameron Peak Post-Fire BAER,Burned Area Emergency Response,"The Cameron Peak Fire was reported on Thursday, August 13 at...",COLORADO,2021-07-14 15:17:57,40.609,-105.679,0 Acres,/incident/7210/,7210,0
Williams Fork Post-Fire BAER,Burned Area Emergency Response,The Williams Fork Fire was first reported on Aug. 14 at approximately...,COLORADO,2021-07-14 15:03:09,39.783,-106,0 Acres,/incident/7211/,7211,0
East Troublesome Post-Fire BAER,Burned Area Emergency Response,The East Troublesome Fire was reported on the afternoon of October...,COLORADO,2021-07-14 15:02:57,40.25,-105.9,0 Acres,/incident/7267/,7267,0
Burbank,Wildfire,"The Burbank fire, located west of South Badger Pocket Road in Yakima...",WASHINGTON,2021-07-14 10:39:24,46.752,-120.388,"13,000 Acres",/incident/7650/,7650,98
Willow Fire,Wildfire,CURRENT CONDITIONS:The weather is expected to be hotter and dryer...,CALIFORNIA,2021-07-12 13:47:45,36.207,-121.56,"2,877 Acres",/incident/7549/,7549,100
Hassel Fire,Wildfire,"On July 7, 2021, the Astray wildfire was reported on the west zone of...",MINNESOTA,2021-07-12 11:14:46,47.931,-92.134,21 Acres,/incident/7511/,7511,100
Pack Creek,Wildfire,The Pack Creek Fire is 100% contained. Even though the fire is...,UTAH,2021-07-12 10:42:54,38.433,-109.343,"8,952 Acres",/incident/7529/,7529,100
Blue Fire,Wildfire,"The Blue Fire reported around 4:25 this 6/29/2021, with USFS and CAL...",CALIFORNIA,2021-07-12 10:35:10,37.033,-119.258,277 Acres,/incident/7585/,7585,100
S-503,Wildfire, The S-503 Fire is burning in timber and grasses on the Confederated...,OREGON,2021-07-12 10:23:22,45.087,-121.476,"6,822 Acres",/incident/7559/,7559,98
Rattlesnake Fire,Wildfire,"Rattlesnake Fire started on June 30, 2021 and is under a unified...",OREGON,2021-07-12 10:21:42,44.868,-121.07,"5,479 Acres",/incident/7592/,7592,98
Lewis Rock,Wildfire, Fire is burning on Oregon Department of Forestry protected lands...,OREGON,2021-07-11 23:12:20,44.506,-120.128,368 Acres,/incident/7604/,7604,95
Silcott Fire,Wildfire,The Silcott fire started in the area of Silcott Grade Road west of...,WASHINGTON,2021-07-11 14:42:28,46.376,-117.167,"8,633 Acres",/incident/7626/,7626,100
Rafael Fire ,Wildfire,"The Rafael Fire was discovered on June 18, 2021 on the Prescott...",ARIZONA,2021-07-11 12:28:35,34.942,-112.162,"78,065 Acres",/incident/7567/,7567,95
Batterman RD,Wildfire," The Batterman Road Fire started on July 4, 2021 at approximately...",WASHINGTON,2021-07-09 22:24:03,47.409,-120.176,"14,100 Acres",/incident/7603/,7603,100
Bottom Fire,Wildfire,"The Bottom Fire was discovered June 28th, approximately 7 miles west...",ARIZONA,2021-07-09 19:03:45,33.192,-110.261,"6,004 Acres",/incident/7586/,7586,95
Inyo Creek Fire,Wildfire,     Final Update     |     Maps     |   ...,CALIFORNIA,2021-07-09 12:43:27,36.583,-118.214,592 Acres,/incident/7564/,7564,100
Pine Fire,Wildfire,   Thanks to a quick response of firefighters from the Inyo National...,CALIFORNIA,2021-07-09 12:29:00,37.37,-118.679,24 Acres,/incident/7621/,7621,100
Johnson Fire,Wildfire,"The Johnson Fire is 88,918 acres and 75% contained. The fire will...",NEW MEXICO,2021-07-09 11:14:51,33.238,-108.473,"88,918 Acres",/incident/7493/,7493,75
Oil Springs Fire,Wildfire,"July 1, 2021The Oil Springs Fire is 97 percent contained as of the...",COLORADO,2021-07-06 16:20:41,39.744,-108.873,"12,613 Acres",/incident/7569/,7569,99
Mescal Fire,Wildfire," 6/18:  Crews will continue to hold and monitor containment lines,...",ARIZONA,2021-07-06 14:11:55,33.166,-110.664,"72,250 Acres",/incident/7507/,7507,100
Sunset Valley Fire,Wildfire, The Sunset Valley Fire that originally ran 987 acres in the course...,OREGON,2021-07-04 11:38:51,45.573,-121.115,987 Acres,/incident/7597/,7597,85
